用户ID,购买时间,点赞数,回复数,得分,评价时间,护肤水型号,无表情评论
20729649095,2024-04-23 20:03:20,0,0,5,2024-04-24 16:08:51,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),正在用这套面霜和精华，保湿非常好，对我的敏感肌很友好，非常安全。决定买化妆水配合用。昨晚买，今天一早到，京东物流速度杠杠的。包装完好，小样齐全。开心。
20707859527,2024-04-10 04:08:02,0,0,5,2024-04-18 17:14:16,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),包装很好很严实，还送了很多小样，虽然比前两年价格涨了不少，但是这款水还是挺好用的，保湿补水效果很好，用着很舒服，会一直回购
20731995329,2024-03-11 13:52:26,0,0,5,2024-04-25 10:10:51,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),保湿效果很好，是稠稠的那种肤感，气泡的，我是混合干皮，感觉还是比较适合的。保湿效果很好，是稠稠的那种肤感，气泡的，我是混合干皮，感觉还是比较适合的。
20735879044,2024-04-25 12:47:36,0,0,5,2024-04-26 11:14:33,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),京东送货就是很快，昨天下单今天一早就收到货了，产品包装的也十分精美，开通了会员，下单很方便，一直选择京东，还会继续回购的！！！
20670199750,2024-04-07 10:54:47,0,0,5,2024-04-08 09:58:02,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),物品收到了 物流超给力 上午买的 下午就到了 这款水是我一位非常喜欢的博主推荐的 我是干皮 非常适合我
20722137402,2024-04-20 22:06:24,0,0,5,2024-04-22 16:11:46,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),物流很快，物品完好无损，用起来很舒服，喜欢款式很大方，质量非常好，价钱也很合理趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒
20757534972,2024-04-10 09:37:03,0,0,5,2024-05-02 11:20:00,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),这瓶水的体验感真的拉满，水油双相的质地清爽到像水一样！又有油的滋润感！上脸速度我还没反应过来它就吸收完了！一瓶就含有4.7万颗高能啵啵满瓶的精华每一颗啵啵都包裹着白牡丹原生细胞哐哐注入抗初老成分把胶原都给肌底补足！
16796259752,2021-11-08 23:18:48,3,1,3,2021-12-11 08:15:24,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),适合肤质：不适合敏感肌
20676430979,2024-02-22 20:44:29,0,0,5,2024-04-09 21:05:33,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买绝对是最开心的一次购物，店家服务态度很好，售后也是
20691454121,2024-03-16 16:05:35,0,0,5,2024-04-14 08:50:29,佰草集【新七白】透亮爽肤精华柔肤水180ml(补水保湿爽肤水敏肌适用),"产品质感：还不错，第一次买这个品牌
适合肤质：不知道适不适合敏感性皮肤
产品香味：味道不错，不刺鼻
使用效果：用了几次还不错吧
补水效果：效果有一点
其他特色：其他特色目前还没有发现，发现了在补评价"
